Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)
770	2.31097359830073e-5
770.995412844037	1.33828077545588e-5
771.990825688073	7.74540538810201e-6
772.98623853211	9.751019691553e-6
773.981651376147	2.98914828469287e-5
774.977064220183	1.27263153849608e-5
775.97247706422	3.08129813106764e-5
776.967889908257	2.2676089647126e-5
777.963302752293	4.64302722681792e-5
778.95871559633	4.52377448445056e-5
779.954128440367	3.11894104216845e-5
780.949541284403	6.06382126340677e-5
781.94495412844	4.50480245725575e-5
782.940366972476	4.72674506110611e-5
783.935779816513	4.76589368865095e-5
784.93119266055	7.10878847556517e-5
785.926605504586	7.82460607305811e-5
786.922018348623	7.48280844026278e-5
787.91743119266	6.75494511121758e-5
788.912844036696	7.23075150753178e-5
789.908256880733	9.80733348655981e-5
790.90366972477	8.67955186997963e-5
791.899082568806	9.06862899911757e-5
792.894495412843	9.52455993837054e-5
793.88990825688	9.24419553649173e-5
794.885321100916	9.15084111696174e-5
795.880733944953	9.53901481623326e-5
796.87614678899	9.91574507053013e-5
797.871559633026	1.1419052368252e-4
798.866972477063	1.05863911747021e-4
799.8623853211	1.10350946750237e-4
800.857798165136	9.54835025818625e-5
801.853211009173	1.16163012224202e-4
802.848623853209	1.3773089456852e-4
803.844036697246	1.24074046421147e-4
804.839449541283	1.32533161403721e-4
805.83486238532	1.46503198571452e-4
806.830275229356	1.25995340603733e-4
807.825688073393	1.38727678854469e-4
808.821100917429	1.42272135363721e-4
809.816513761466	1.36216143825824e-4
810.811926605503	1.47777034683103e-4
811.807339449539	1.60506361500952e-4
812.802752293576	1.59660148859406e-4
813.798165137613	1.55950063541311e-4
814.793577981649	1.59898052057563e-4
815.788990825686	1.58018917935411e-4
816.784403669723	1.87916423648116e-4
817.779816513759	1.80180052558678e-4
818.775229357796	1.89723283380954e-4
819.770642201832	1.71467977213507e-4
820.766055045869	1.85287442736835e-4
821.761467889906	1.73262791214794e-4
822.756880733943	1.89614871796984e-4
823.752293577979	2.01217922714697e-4
824.747706422016	2.20759110725348e-4
825.743119266052	2.08373087256738e-4
826.738532110089	2.12899270887499e-4
827.733944954126	2.20994002490617e-4
828.729357798162	2.21713734950864e-4
829.724770642199	2.28432241724136e-4
830.720183486236	2.25598483376467e-4
831.715596330272	2.46419530364546e-4
832.711009174309	2.53104911376049e-4
833.706422018346	2.33777535100451e-4
834.701834862382	2.61657380778152e-4
835.697247706419	2.40610476323469e-4
836.692660550456	2.5828457594352e-4
837.688073394492	2.54538353430768e-4
838.683486238529	2.72709339477349e-4
839.678899082566	2.76991597044177e-4
840.674311926602	2.74748079542569e-4
841.669724770639	2.79015279944956e-4
842.665137614675	2.82011655668581e-4
843.660550458712	2.68231338772797e-4
844.655963302749	2.95153548792094e-4
845.651376146786	2.99218983190981e-4
846.646788990822	2.95710663876386e-4
847.642201834859	3.08620676667519e-4
848.637614678895	3.08072595881891e-4
849.633027522932	3.22937028617378e-4
