#cm^-1	mean CaF2 5%
989	6.886252886033619e-5
990	6.577962267328986e-5
991	6.997511882218541e-5
992	6.596739767701363e-5
993	6.730764507665299e-5
994	6.967192312004044e-5
995	6.37289609585423e-5
996	6.638721606577747e-5
997	6.825680247857238e-5
998	6.550054313265718e-5
999	6.533789055538362e-5
1000	6.916554775671109e-5
1001	5.956726672593504e-5
1002	6.527977529913187e-5
1003	6.50759000563994e-5
1004	6.748647647327747e-5
1005	7.06327598891221e-5
1006	6.606594251934438e-5
1007	7.050152125884778e-5
1008	6.921512103872373e-5
1009	6.841510985395882e-5
1010	7.105519980541432e-5
1011	6.954475247766812e-5
1012	6.975165379117245e-5
1013	6.768699531676248e-5
1014	6.995639196247796e-5
1015	6.32721741567366e-5
1016	6.054311743355358e-5
1017	7.407437224173921e-5
1018	6.77944321068935e-5
1019	7.010892295511441e-5
1020	6.721117606502956e-5
1021	7.073646556818861e-5
1022	6.591185156139544e-5
1023	6.39685727946926e-5
1024	6.859837303636594e-5
1025	6.154357397463172e-5
1026	6.827848264947534e-5
1027	6.786793601349929e-5
1028	6.28577283350751e-5
1029	7.05663376720622e-5
1030	6.395512027665975e-5
1031	6.354017459671013e-5
1032	6.542211049236357e-5
1033	6.667110574198889e-5
1034	6.506387071567589e-5
1035	6.979359386605212e-5
1036	6.882027228130027e-5
1037	6.373406358761712e-5
1038	6.339925384963865e-5
1039	7.287670014193283e-5
1040	6.721155223203835e-5
1041	7.55746303184423e-5
1042	6.175659800646827e-5
1043	6.675888289464639e-5
1044	6.816599416197279e-5
1045	7.083843374857687e-5
1046	7.113689280231476e-5
1047	6.379101032507605e-5
1048	6.878312633489259e-5
1049	6.850665376987309e-5
1050	6.641383515670897e-5
1051	7.115228363545612e-5
1052	7.311087465495794e-5
1053	6.531156395794816e-5
1054	7.231022391351871e-5
1055	6.829269186710006e-5
1056	7.529338399763225e-5
1057	6.821382557973268e-5
1058	6.826784374425196e-5
1059	7.750710428808818e-5
1060	7.465985545422879e-5
1061	7.029366897768343e-5
1062	7.34273569833022e-5
1063	6.80437377013732e-5
1064	7.150278470362527e-5
1065	7.431189660565012e-5
1066	6.962483457755299e-5
1067	6.693488467135469e-5
1068	7.298761411220759e-5
1069	7.454742590198291e-5
1070	7.367686630459501e-5
1071	7.440733243129216e-5
1072	7.26218146155589e-5
1073	7.126816271920687e-5
1074	6.772729539079593e-5
1075	6.885706607135951e-5
1076	6.917117498232985e-5
1077	7.293586386367687e-5
1078	7.277472759596997e-5
1079	6.775138754164806e-5
1080	6.604798472835683e-5
1081	6.824990632594565e-5
1082	7.30810010281858e-5
1083	7.260430284077303e-5
1084	6.725001076119953e-5
1085	6.72863025101833e-5
1086	6.477276256191544e-5
1087	6.844428498880008e-5
1088	7.493713201256466e-5
1089	7.084843527991335e-5
1090	6.973491617827678e-5
1091	7.41305673727765e-5
1092	7.609610911458718e-5
1093	7.681893621338544e-5
1094	7.915238675195721e-5
1095	8.462748373858618e-5
1096	7.885814193286936e-5
1097	7.625408470630628e-5
1098	7.978215580806128e-5
1099	8.200578231480904e-5
1100	8.365747708012358e-5
1101	7.71166538470424e-5
1102	7.722804075456223e-5
1103	7.867256426834495e-5
1104	7.989397490746349e-5
1105	7.080018112901599e-5
1106	7.242725405376415e-5
1107	7.565621708636183e-5
1108	7.944197714095924e-5
1109	8.610929944552499e-5
1110	7.677621470065786e-5
1111	7.825698630767875e-5
1112	7.887970641604616e-5
1113	7.294378738151858e-5
1114	7.306402840185914e-5
1115	7.847888118703856e-5
1116	7.441834386554554e-5
1117	7.531459850724778e-5
1118	7.353698165388766e-5
1119	7.425255753332759e-5
1120	7.258568439283419e-5
1121	7.865947045502253e-5
1122	8.160483994288369e-5
1123	8.491520638926876e-5
1124	7.990913363755681e-5
1125	7.440907502314072e-5
1126	7.705479365540679e-5
1127	7.94649618910625e-5
1128	7.716445397818452e-5
1129	7.660551564185884e-5
1130	8.192286040866755e-5
1131	7.788907169015154e-5
1132	7.47585632780101e-5
1133	7.995209307409828e-5
1134	7.415398431476196e-5
1135	7.288646593224257e-5
1136	7.780273517710174e-5
1137	7.664359436603258e-5
1138	7.406636432278894e-5
1139	7.196123042376713e-5
1140	8.05807358119637e-5
1141	8.260554313892493e-5
1142	8.793543529463938e-5
1143	7.999521621968583e-5
1144	7.486898539355026e-5
1145	7.347225619014357e-5
1146	7.812449694029065e-5
1147	8.549636768293562e-5
1148	8.377070189453656e-5
1149	7.91687925811857e-5
1150	7.528499918407754e-5
1151	7.769195653963823e-5
1152	7.156342326197776e-5
1153	6.761517433915288e-5
1154	6.307232470135202e-5
1155	6.770864274585622e-5
1156	7.862661877879879e-5
1157	7.899950360297222e-5
1158	7.556723649031482e-5
1159	7.445650335284895e-5
1160	7.662128555239196e-5
1161	8.252248080680153e-5
1162	8.430880188825533e-5
1163	7.808564769220543e-5
1164	7.705216703470781e-5
1165	8.11357116617727e-5
1166	8.02087764895986e-5
1167	7.927789265522734e-5
1168	8.482185949105775e-5
1169	8.339872147189455e-5
1170	7.613115885760628e-5
1171	7.493247758247901e-5
1172	7.973587635206044e-5
