#cm^-1	CaF2 5pc av
1351	7.176180000000001e-5
1352	7.514690000000001e-5
1353	7.66088e-5
1354	7.750580000000001e-5
1355	7.326300000000001e-5
1356	7.17843e-5
1357	7.700870000000001e-5
1358	7.736760000000001e-5
1359	7.16505e-5
1360	7.303530000000002e-5
1361	7.25229e-5
1362	7.115060000000001e-5
1363	8.263190000000001e-5
1364	6.891430000000001e-5
1365	7.888630000000001e-5
1366	7.61325e-5
1367	7.028420000000001e-5
1368	7.377220000000001e-5
1369	7.228410000000001e-5
1370	7.562340000000001e-5
1371	8.049400000000001e-5
1372	7.328570000000001e-5
1373	7.65194e-5
1374	8.037440000000001e-5
1375	7.612540000000001e-5
1376	7.810170000000001e-5
1377	7.763050000000001e-5
1378	7.987370000000001e-5
1379	7.64744e-5
1380	7.616740000000001e-5
1381	7.453740000000001e-5
1382	7.974100000000001e-5
1383	7.65809e-5
1384	7.563320000000001e-5
1385	7.451380000000001e-5
1386	7.53893e-5
1387	8.106970000000001e-5
1388	7.26474e-5
1389	7.75876e-5
1390	7.687190000000001e-5
1391	7.74963e-5
1392	7.64852e-5
1393	7.365860000000001e-5
1394	7.31556e-5
1395	7.859980000000001e-5
1396	7.57669e-5
1397	7.414390000000001e-5
1398	7.115250000000001e-5
1399	7.999410000000001e-5
1400	7.916470000000001e-5
1401	7.66579e-5
1402	7.22854e-5
1403	8.165110000000002e-5
1404	7.35971e-5
1405	7.49947e-5
1406	7.72362e-5
1407	7.911240000000001e-5
1408	7.752490000000001e-5
1409	7.941960000000001e-5
1410	8.29675e-5
1411	8.226240000000001e-5
1412	7.60373e-5
1413	7.775390000000001e-5
1414	8.274570000000002e-5
1415	8.349300000000001e-5
1416	7.809910000000001e-5
1417	7.550000000000001e-5
1418	7.485400000000001e-5
1419	8.395780000000001e-5
1420	7.813630000000001e-5
1421	8.124070000000001e-5
1422	7.78569e-5
1423	7.7105e-5
1424	7.614460000000001e-5
1425	7.887100000000001e-5
1426	7.402320000000001e-5
1427	7.451150000000001e-5
1428	7.763250000000001e-5
1429	7.339030000000001e-5
1430	7.710140000000001e-5
1431	7.638980000000001e-5
1432	8.432270000000002e-5
1433	7.86254e-5
1434	6.91602e-5
1435	6.728099999999999e-5
1436	7.290330000000001e-5
1437	7.276170000000001e-5
1438	7.66211e-5
1439	7.438300000000001e-5
1440	7.030520000000001e-5
1441	7.57268e-5
1442	7.338960000000001e-5
1443	7.688210000000001e-5
1444	7.524340000000001e-5
1445	8.047710000000002e-5
1446	7.83794e-5
1447	7.648080000000001e-5
1448	7.746760000000001e-5
1449	8.10914e-5
1450	8.260800000000001e-5
1451	7.88755e-5
1452	8.13729e-5
1453	9.258770000000001e-5
1454	7.56429e-5
1455	7.37622e-5
1456	7.510680000000001e-5
1457	7.599820000000001e-5
1458	7.899550000000001e-5
1459	8.061590000000001e-5
1460	8.748300000000002e-5
1461	8.973100000000001e-5
1462	7.95714e-5
1463	7.60176e-5
1464	8.136440000000002e-5
1465	8.48575e-5
1466	8.79638e-5
1467	8.225210000000002e-5
1468	8.99523e-5
1469	8.273790000000001e-5
1470	8.09869e-5
1471	7.399630000000001e-5
1472	7.989020000000001e-5
1473	7.199140000000001e-5
1474	6.865190000000001e-5
1475	7.438450000000001e-5
1476	7.300730000000001e-5
1477	7.26614e-5
1478	7.074700000000001e-5
1479	7.328900000000001e-5
1480	7.67569e-5
1481	7.12717e-5
1482	7.226140000000001e-5
1483	7.66397e-5
1484	8.058180000000001e-5
1485	7.12948e-5
1486	7.727820000000002e-5
1487	7.815260000000001e-5
1488	7.12752e-5
1489	7.872200000000001e-5
1490	7.48597e-5
1491	7.647260000000001e-5
1492	8.49945e-5
1493	7.999670000000001e-5
1494	7.379660000000001e-5
1495	7.97675e-5
1496	7.81167e-5
1497	7.701870000000001e-5
1498	7.961550000000001e-5
1499	8.17119e-5
1500	7.71145e-5
1501	9.145650000000001e-5
1502	9.842730000000001e-5
1503	9.38017e-5
1504	8.07485e-5
1505	7.37426e-5
1506	7.936770000000001e-5
1507	7.55617e-5
1508	7.7624e-5
1509	7.160970000000001e-5
1510	7.10513e-5
1511	7.305880000000001e-5
1512	7.525980000000001e-5
1513	7.259810000000001e-5
1514	7.104770000000001e-5
1515	7.05582e-5
1516	7.373540000000001e-5
1517	7.50226e-5
1518	7.75064e-5
1519	6.778840000000001e-5
1520	6.96613e-5
1521	6.94136e-5
1522	6.879460000000001e-5
