Wavenumber	60 nm PMMA av. (N=3) - 0.9* H2O correct
1257.3699999999999	0.00378467
1259.3	0.003803
1261.22	0.00386867
1263.1500000000001	0.003959
1265.0799999999999	0.00409667
1267.01	0.004288
1268.9400000000001	0.00444567
1270.8699999999999	0.00446933
1272.8	0.00436533
1274.72	0.00418533
1276.6500000000001	0.00396333
1278.5799999999999	0.00373433
1280.51	0.003524
1282.4400000000001	0.003324
1284.3699999999999	0.003114
1286.29	0.00290233
1288.22	0.00270767
1290.1500000000001	0.002541
1292.0799999999999	0.00242667
1294.01	0.00237867
1295.9400000000001	0.002358
1297.8699999999999	0.00231067
1299.79	0.00222967
1301.72	0.00215767
1303.6500000000001	0.00213867
1305.5799999999999	0.002171
1307.51	0.00221133
1309.4400000000001	0.00219667
1311.3599999999999	0.00210033
1313.29	0.001979
1315.22	0.00191167
1317.1500000000001	0.00190533
1319.0799999999999	0.00191667
1321.01	0.00191
1322.9400000000001	0.001875
1324.8599999999999	0.00182533
1326.79	0.00178167
1328.72	0.00177933
1330.6500000000001	0.001838
1332.5799999999999	0.00191867
1334.51	0.001977
1336.4300000000001	0.00201833
1338.3599999999999	0.00204967
1340.29	0.002051
1342.22	0.00203033
1344.1500000000001	0.00202933
1346.0799999999999	0.00208567
1348.01	0.002174
1349.9300000000001	0.002213
1351.8599999999999	0.00216233
1353.79	0.00208467
1355.72	0.002053
1357.6500000000001	0.002064
1359.5799999999999	0.00209733
1361.5	0.00214167
1363.4300000000001	0.00214867
1365.3599999999999	0.00207767
1367.29	0.001983
1369.22	0.00196067
1371.1500000000001	0.002037
1373.0799999999999	0.00213467
1375	0.00215767
1376.9300000000001	0.00212933
1378.8599999999999	0.00214667
1380.79	0.00222167
1382.72	0.00230367
1384.6500000000001	0.00238433
1386.5799999999999	0.00245133
1388.5	0.00245967
1390.4300000000001	0.00240833
1392.3599999999999	0.002352
1394.29	0.00231167
1396.22	0.00227033
1398.1500000000001	0.00219867
1400.0699999999999	0.00209967
1402	0.00200167
1403.9300000000001	0.00192933
1405.8599999999999	0.00189367
1407.79	0.00186433
1409.72	0.00182
1411.6500000000001	0.00179533
1413.5699999999999	0.001807
1415.5	0.00181267
1417.4300000000001	0.0018
1419.3599999999999	0.00181367
1421.29	0.0019
1423.22	0.00204733
1425.1400000000001	0.002204
1427.0699999999999	0.00237267
1429	0.002607
1430.9300000000001	0.002875
1432.8599999999999	0.00307267
1434.79	0.003178
1436.72	0.003251
1438.6400000000001	0.00332967
1440.5699999999999	0.003408
1442.5	0.00344533
1444.4300000000001	0.00340933
1446.3599999999999	0.00336133
1448.29	0.003401
1450.21	0.00347867
1452.1400000000001	0.00345633
1454.0699999999999	0.00330867
1456	0.003152
1457.9300000000001	0.00310267
1459.8599999999999	0.00312
1461.79	0.00310567
1463.71	0.00304567
1465.6400000000001	0.00298333
1467.5699999999999	0.00292233
1469.5	0.00285567
1471.4300000000001	0.002832
1473.3599999999999	0.00288767
1475.29	0.00297367
1477.21	0.003039
1479.1400000000001	0.00310433
1481.0699999999999	0.003173
1483	0.00319367
1484.9300000000001	0.003154
1486.8599999999999	0.003085
1488.78	0.00298233
1490.71	0.00284233
1492.6400000000001	0.00268433
1494.5699999999999	0.002505
1496.5	0.00231167
1498.4300000000001	0.002142
1500.3599999999999	0.00200667
1502.28	0.00187
1504.21	0.00172567
1506.1400000000001	0.00163433
1508.0699999999999	0.00164967
1510	0.001743
1511.9300000000001	0.00187233
1513.8499999999999	0.00198233
1515.78	0.001999
1517.71	0.00194867
1519.6400000000001	0.001929
1521.5699999999999	0.00194933
1523.5	0.00196133
1525.4300000000001	0.00197533
1527.3499999999999	0.001998
1529.28	0.00196667
1531.21	0.00184533
1533.1400000000001	0.001695
1535.0699999999999	0.00157833
1537	0.00148533
1538.9200000000001	0.001435
1540.8499999999999	0.00149533
1542.78	0.00163833
1544.71	0.001769
1546.6400000000001	0.00184333
1548.5699999999999	0.00184467
1550.5	0.00177633
1552.4200000000001	0.0017
1554.3499999999999	0.001645
1556.28	0.00156967
1558.21	0.001524
1560.1400000000001	0.00163067
1562.0699999999999	0.001827
1564	0.00194967
1565.9200000000001	0.001985
1567.8499999999999	0.00199267
1569.78	0.001955
1571.71	0.00182867
1573.6400000000001	0.001685
1575.5699999999999	0.00165167
1577.49	0.00173067
1579.4200000000001	0.00181167
1581.3499999999999	0.00185567
1583.28	0.001885
1585.21	0.00189367
1587.1400000000001	0.001873
1589.0699999999999	0.00184767
1590.99	0.00184733
1592.9200000000001	0.001874
1594.8499999999999	0.00188667
1596.78	0.001855
1598.71	0.001802
1600.6400000000001	0.00175833
1602.5599999999999	0.00173
1604.49	0.00171633
1606.4200000000001	0.00173133
1608.3499999999999	0.001771
1610.28	0.00177667
1612.21	0.00167533
1614.1400000000001	0.00148433
1616.0599999999999	0.001356
1617.99	0.00140767
1619.9200000000001	0.00155733
1621.8499999999999	0.00167933
1623.78	0.001744
1625.71	0.00175333
1627.6300000000001	0.001709
1629.5599999999999	0.00166567
1631.49	0.00165633
1633.4200000000001	0.001657
1635.3499999999999	0.00166533
1637.28	0.00168667
1639.21	0.00169633
1641.1300000000001	0.001691
1643.0599999999999	0.00168867
1644.99	0.00168767
1646.9200000000001	0.00167
1648.8499999999999	0.00161433
1650.78	0.001511
1652.71	0.00142067
1654.6300000000001	0.00143667
1656.5599999999999	0.00152233
1658.49	0.00159033
1660.4200000000001	0.001613
1662.3499999999999	0.00160233
1664.28	0.00159433
1666.2	0.00162367
1668.1300000000001	0.00167167
1670.0599999999999	0.001678
