1	#2/CaF2_002_SG355	#3/CaF2_002_SG355	#6/CaF2_002_SG355	#7/CaF2_002_SG355	#8/CaF2_002_SG355
838	0,810552	2,360211462724697	1,8746095701384	0,5886086565376257	1,395706729268556
839	0,702056	2,244138068533164	1,838161737328461	0,5828731648519448	1,366247345203043
840	0,659046	2,197879669162903	1,77462380035195	0,6375328045146201	1,197782477493284
841	0,697977	2,256966546036726	1,887562045840285	0,6447632375858887	1,214185367463128
842	0,796059	2,249023673180964	1,802224157044217	0,5728730185781343	1,124793615611097
843	0,783023	2,088183100046002	1,655881363564023	0,6605228718724951	0,9564393985380388
844	0,77358	2,121976622092727	1,653435457550221	0,6612229631487262	0,9984777887813989
845	0,737045	2,06649803694593	1,589600897050546	0,6442974570116731	1,112288217834475
846	0,617393	2,009387267781863	1,443759161237229	0,6094545271215182	1,17038380005872
847	0,513989	1,997126561215599	1,373426967987726	0,5128839512818014	1,228749516161292
848	0,542262	2,147333603687696	1,454570651912212	0,5425743386763779	1,349036335137919
849	0,593952	2,174964667187113	1,298473716492894	0,4667348942059936	1,239835167948165
850	0,672952	2,170973955989166	1,250917739148053	0,5153171142516416	1,208372367516386
851	0,753033	2,139714180294737	1,297550170929906	0,5885299005623481	1,224590792862728
852	0,855706	2,19108116076356	1,227945997093255	0,663845608476253	1,037494475579834
853	0,907786	2,187502962492126	1,290983791939762	0,7665077039816921	0,9848867173475515
854	0,941714	2,258518688932205	1,512242505633561	0,8665636350637694	1,052207874185331
855	0,931218	2,158103587891206	1,673078395339418	0,8911681414630004	0,9934164594684145
856	0,907754	2,041115321149715	1,699683146526074	0,91319885930973	0,8534794900518272
857	0,902341	1,969996552302186	1,8261183129677	0,9055896872500557	0,9224044655362356
858	0,956038	2,067713909487735	1,755272639994873	0,8823433664823187	0,9915381066112708
859	0,941386	2,026861077898811	1,764149427060498	0,7805664152779672	0,9055385081736086
860	0,942906	1,864992276098121	1,763203306285724	0,727884282430395	0,9385152931496077
861	0,855686	1,84559944249687	1,660104994655469	0,7496152483993455	0,9511542446581678
862	0,847999	1,7567592633214	1,508490244138464	0,7450544132136896	0,7975523464585024
863	0,755823	1,737981287793794	1,441131545080169	0,6843852970446171	0,7074197512387349
864	0,713015	1,725070985066211	1,338228716450539	0,6600173523343942	0,7451563765585909
865	0,645101	1,743530115212504	1,260723929213973	0,6345289611481083	0,6786987850813848
866	0,622983	1,869119496927283	1,199734212065372	0,5708449828121934	0,5363262737902024
867	0,585169	1,903299786982519	1,197195730097045	0,5956700666074478	0,5977369197131626
868	0,526055	1,951822576793631	1,237416109790762	0,6234291624151854	0,6171236349432369
869	0,528863	2,073414219987979	1,397701564454464	0,6304416591445819	0,6443406591798544
870	0,583388	1,950458593149769	1,383297628820839	0,6282382322940713	0,6942839295434963
871	0,544261	1,804995195274687	1,275927678132249	0,6952771585493933	0,6687459697827957
872	0,632606	1,674703132842264	1,230461887584215	0,7912636313012238	0,6158165160777956
873	0,707817	1,748800356587619	1,218400922607442	0,802368430987078	0,6399851439639647
874	0,857226	1,890805998504699	1,265572243975915	0,8210103157966264	0,7373509485459739
875	0,866567	2,011954177398351	1,376198722436565	0,8570438705327696	0,7143154241480798
876	0,882036	2,16949252853083	1,473414723257286	0,8179589974576801	0,7084955833869208
877	0,767638	2,182843937260635	1,470344544592153	0,851368100623721	0,7084809176507301
878	0,756956	2,347890839763261	1,65927083687176	0,921388050993727	0,628321120774751
879	0,785274	2,462626413366551	1,839328980404211	0,9388659858626771	0,6332766205979037
880	0,765912	2,305265279032327	1,743197717452706	0,8680326581497679	0,5654957336103269
881	0,663465	2,21905975087363	1,565551321908409	0,9061151544181028	0,4941559187355193
882	0,753984	2,189823511825385	1,539545944232276	0,9858824872081033	0,4602218041830256
883	0,874498	2,104943975718532	1,499094158805357	1,030076757966532	0,5070950638119295
884	0,967641	2,125024278382425	1,424626702467799	1,026396614352348	0,5079804305717092
885	0,951008	2,036188308616607	1,324404690446903	1,005135160330322	0,4608242496740427
886	0,849608	2,010554095188548	1,232629291159158	1,034750220694552	0,5068929392605555
887	0,750482	2,193887858476085	1,159323651049497	0,9677072843743075	0,4759634778628005
888	0,73418	2,363240701528944	1,174687756382866	0,9450074041282532	0,4237377684996121
889	0,711103	2,282119410344551	1,21025990706631	0,9722477721699877	0,4142912214002933
890	0,649487	2,109358254392327	1,118356199838351	0,9636966728031936	0,3798934409033681
891	0,623024	2,178329093086937	1,350587833733732	1,142797465317976	0,3608025850158989
892	0,636211	2,282693307636983	1,529220676625785	1,356311314734035	0,3758742983140602
893	0,661887	2,315772829853898	1,626633400074846	1,44938146914481	0,3975537724271
894	0,709453	2,257717674597847	1,589845983417946	1,410873859533904	0,3972933711731793
