wavenumber (cm-1)	CaF2 Substrat	Pery1	Pery2	Pery3	Pery3-1	Pery4	Pery5	TPCA1	TPCA2
3942.8473	0.6797299999999999	0.65639	0.5355	0.00104	0.61656	0.55405	0.62232	0.66695	0.67106
3941.88305	0.68028	0.65657	0.53512	0.00045	0.61726	0.5535600000000001	0.62242	0.66745	0.67183
3940.91879	0.6807299999999999	0.65651	0.53508	0.00094	0.61751	0.55414	0.62256	0.66751	0.6723
3939.95453	0.68061	0.6563099999999999	0.53496	0.00073	0.6172299999999999	0.55475	0.6224	0.66722	0.6721
3938.99027	0.68028	0.65624	0.53473	0.00087	0.61699	0.5548	0.62222	0.66716	0.67174
3938.02602	0.68021	0.65629	0.53474	0.00082	0.61714	0.55475	0.62232	0.6674099999999999	0.67161
3937.06176	0.68048	0.65641	0.53503	0.00066	0.61766	0.55494	0.62255	0.6677	0.67173
3936.0975	0.68071	0.65656	0.53535	0.00087	0.6180600000000001	0.55519	0.62265	0.66772	0.67182
3935.13325	0.68061	0.65662	0.53543	0.00106	0.61793	0.55516	0.62269	0.66742	0.67161
3934.16899	0.6804	0.65656	0.53533	0.00078	0.61734	0.55513	0.62275	0.66692	0.67118
3933.20473	0.68036	0.65634	0.53525	0.00092	0.61683	0.5551199999999999	0.62258	0.66645	0.67081
3932.24048	0.68061	0.65633	0.5352	0.00104	0.61703	0.55476	0.62234	0.66659	0.67095
3931.27622	0.68104	0.65674	0.53538	0.00107	0.61763	0.5547800000000001	0.62269	0.66723	0.6715
3930.31196	0.68121	0.6571	0.53569	0.00069	0.6178399999999999	0.55525	0.62315	0.66739	0.67191
3929.3477	0.68113	0.65734	0.5357499999999999	0.00077	0.61792	0.55527	0.62322	0.6674099999999999	0.67217
3928.38345	0.68111	0.6575299999999999	0.53573	0.00066	0.61808	0.55518	0.62323	0.66771	0.67226
3927.41919	0.68105	0.65746	0.53589	0.00038	0.61792	0.5555600000000001	0.62332	0.66777	0.67211
3926.45493	0.68077	0.6571399999999999	0.53611	0.00074	0.61739	0.55606	0.6232	0.6674	0.6718
3925.49068	0.68047	0.65691	0.53608	0.0009	0.61709	0.55604	0.6228900000000001	0.66706	0.67155
3924.52642	0.6807	0.65718	0.53577	0.0003	0.61777	0.55548	0.62293	0.66732	0.67195
3923.56216	0.6813	0.65749	0.5356300000000001	0.00078	0.6186	0.55531	0.6234	0.6679	0.67265
3922.5979	0.6815	0.65727	0.53592	0.001	0.61852	0.55559	0.62371	0.66801	0.67262
3921.63365	0.68121	0.6569	0.53637	0.0008899999999999999	0.61787	0.55582	0.62373	0.66766	0.67184
3920.66939	0.68083	0.65679	0.53634	0.00065	0.61742	0.5556	0.62346	0.66742	0.67117
3919.70513	0.68105	0.65715	0.53591	0.00038	0.61785	0.55521	0.62325	0.6678500000000001	0.67156
3918.74088	0.6814	0.65726	0.53587	0.00086	0.61799	0.5556	0.62331	0.66791	0.67191
3917.77662	0.6812	0.65676	0.5358000000000001	0.00104	0.61746	0.55583	0.6232	0.66721	0.6712900000000001
3916.81236	0.68111	0.65657	0.5353599999999999	0.00107	0.61779	0.55493	0.62318	0.66735	0.67113
3915.8481	0.68132	0.6568000000000001	0.53532	0.00076	0.61869	0.5545099999999999	0.62343	0.6682900000000001	0.67193
3914.88385	0.68122	0.65665	0.53559	0.00037	0.6187	0.55514	0.62344	0.66838	0.67233
3913.91959	0.68102	0.65645	0.53571	0.00045	0.6182800000000001	0.5557	0.62332	0.66792	0.67235
3912.95533	0.68096	0.65651	0.53574	0.00071	0.61792	0.55594	0.62331	0.66754	0.67238
3911.99108	0.68101	0.6567	0.53571	0.00065	0.61765	0.55608	0.62352	0.66729	0.67243
3911.02682	0.68107	0.65689	0.5356300000000001	0.00043	0.61758	0.55613	0.62382	0.66718	0.67243
3910.06256	0.68099	0.65699	0.53576	0.00106	0.61771	0.55611	0.62382	0.6673	0.67233
3909.0983	0.6808	0.65694	0.53613	0.00143	0.61797	0.5561700000000001	0.62363	0.66754	0.6722399999999999
3908.13405	0.68075	0.65693	0.53646	0.00105	0.6181	0.5564	0.62374	0.66756	0.67216
3907.16979	0.68086	0.65696	0.53664	0.0005	0.61774	0.55672	0.62395	0.66726	0.67184
3906.20553	0.6808999999999999	0.65698	0.53662	0.00033	0.61703	0.55696	0.62378	0.66696	0.67134
3905.24128	0.68061	0.65701	0.53633	0.0005999999999999999	0.61655	0.55664	0.62319	0.66688	0.67108
3904.27702	0.68049	0.65725	0.53579	0.00083	0.61698	0.5555	0.62277	0.6672400000000001	0.67164
3903.31276	0.68089	0.65741	0.53559	0.00076	0.61755	0.55505	0.62295	0.66762	0.67222
3902.3485	0.68109	0.6572	0.5357	0.00079	0.61779	0.5553399999999999	0.62318	0.66779	0.67222
3901.38425	0.6815	0.65745	0.53611	0.00112	0.61861	0.55558	0.62359	0.66831	0.67279
3900.41999	0.68168	0.65769	0.53695	0.00074	0.61868	0.55605	0.62378	0.66803	0.67301
3899.45573	0.68115	0.65748	0.53706	0.00152	0.61829	0.55563	0.6233	0.66721	0.67259
3898.49148	0.68131	0.65778	0.53634	0.00208	0.61915	0.55469	0.62348	0.66787	0.67296
3897.52722	0.6819	0.65805	0.53626	0.00173	0.61953	0.55521	0.62417	0.66858	0.6731
3896.56296	0.68186	0.65787	0.53653	0.00105	0.6191	0.55616	0.62447	0.6684099999999999	0.67257
3895.59871	0.68162	0.65767	0.53673	0.0008	0.6187	0.55676	0.62459	0.6681	0.6720699999999999
3894.63445	0.68157	0.65756	0.53684	0.0008899999999999999	0.61826	0.55692	0.62452	0.6678500000000001	0.6719000000000001
3893.67019	0.68172	0.65773	0.53711	0.00069	0.61787	0.55713	0.62446	0.66771	0.67226
3892.70593	0.68149	0.65794	0.53757	0.0004	0.61751	0.55771	0.62442	0.66745	0.67258
3891.74168	0.6808999999999999	0.65807	0.5372400000000001	0.00045	0.61785	0.55723	0.62412	0.6674600000000001	0.67266
3890.77742	0.68133	0.65847	0.53612	0.00065	0.61944	0.5557800000000001	0.62438	0.66854	0.67327
3889.81316	0.68192	0.65844	0.53601	0.00043	0.61975	0.5561199999999999	0.62496	0.66887	0.67348
3888.84891	0.68169	0.65783	0.5364100000000001	0.00058	0.6188	0.5571	0.62498	0.66816	0.67299
3887.88465	0.68135	0.65716	0.53694	0.00068	0.61777	0.55776	0.62479	0.6674099999999999	0.67241
3886.92039	0.681	0.6565299999999999	0.53748	0.00105	0.61674	0.55805	0.62447	0.66654	0.67156
3885.95613	0.68068	0.65655	0.53703	0.00142	0.61682	0.55699	0.62395	0.66643	0.67126
3884.99188	0.68129	0.65778	0.53613	0.00119	0.61876	0.55564	0.62426	0.66816	0.67267
3884.02762	0.68153	0.65809	0.53622	0.00079	0.61916	0.55604	0.62477	0.66867	0.6730699999999999
3883.06336	0.68128	0.65772	0.53656	0.00059	0.6186199999999999	0.55687	0.62487	0.66813	0.67261
3882.09911	0.68119	0.65745	0.53708	0.00057	0.61819	0.55798	0.6248899999999999	0.66751	0.67228
3881.13485	0.68107	0.65715	0.53718	0.00076	0.61793	0.5585	0.62443	0.66694	0.67179
3880.17059	0.68153	0.6575	0.53611	0.00102	0.61894	0.55684	0.62385	0.66792	0.67233
3879.20633	0.68231	0.65821	0.5359	0.00098	0.61997	0.55592	0.62446	0.66942	0.67376
3878.24208	0.68222	0.65804	0.53654	0.0005999999999999999	0.61947	0.5568	0.625	0.66925	0.67395
3877.27782	0.68201	0.65766	0.53691	0.00083	0.61891	0.55762	0.6251100000000001	0.66874	0.67363
3876.31356	0.68205	0.65756	0.53735	0.0008899999999999999	0.61868	0.55832	0.6253	0.66835	0.6733
3875.34931	0.68199	0.65757	0.53808	0.00056	0.61834	0.5589499999999999	0.62542	0.66767	0.67286
3874.38505	0.68198	0.6579	0.53829	0.00081	0.61865	0.55822	0.62505	0.66754	0.67295
3873.42079	0.68245	0.65864	0.53771	0.00087	0.61998	0.55686	0.62487	0.66876	0.6738
3872.45653	0.68245	0.6585800000000001	0.5377	0.00059	0.61995	0.55751	0.6251100000000001	0.66894	0.67355
3871.49228	0.68183	0.65799	0.53829	0.001	0.61871	0.55888	0.6250599999999999	0.66788	0.67233
3870.52802	0.6809500000000001	0.65762	0.53852	0.00161	0.61785	0.55892	0.6244	0.66695	0.67131
3869.56376	0.68127	0.65832	0.5371899999999999	0.00165	0.61973	0.55648	0.62388	0.66806	0.67242
3868.59951	0.68246	0.65885	0.53646	0.00116	0.62119	0.55574	0.62464	0.66936	0.67402
3867.63525	0.68241	0.65832	0.53713	0.00036	0.62005	0.55715	0.62526	0.66888	0.6738499999999999
3866.67099	0.68181	0.65768	0.538	0.00086	0.61846	0.5585599999999999	0.62549	0.66789	0.67298
3865.70673	0.68127	0.65747	0.53837	0.00124	0.6176700000000001	0.55867	0.62532	0.66718	0.6722
3864.74248	0.6815099999999999	0.65833	0.53774	0.00122	0.61905	0.55685	0.62499	0.66798	0.67289
3863.77822	0.68233	0.6593599999999999	0.53759	0.00129	0.62033	0.55655	0.62538	0.66913	0.67421
3862.81396	0.68227	0.65932	0.53792	0.00143	0.61949	0.55776	0.62571	0.66875	0.67411
3861.84971	0.68191	0.65889	0.5376	0.00125	0.619	0.55792	0.62558	0.66861	0.67387
3860.88545	0.68194	0.65856	0.53726	0.00027	0.61963	0.55758	0.62554	0.66934	0.67406
3859.92119	0.68184	0.65818	0.5375	0.00084	0.61961	0.55796	0.62564	0.66936	0.67375
3858.95694	0.68159	0.65782	0.53784	0.0012	0.61892	0.5585599999999999	0.62568	0.66874	0.67314
3857.99268	0.68142	0.65774	0.53805	0.0008	0.61852	0.55882	0.62565	0.66828	0.67286
3857.02842	0.68165	0.65821	0.53838	0.00061	0.61898	0.55877	0.6258	0.6684600000000001	0.67332
3856.06416	0.68204	0.65865	0.53933	0.00066	0.6191	0.55953	0.62627	0.66849	0.67358
3855.09991	0.6813399999999999	0.65806	0.54016	0.00083	0.61763	0.56042	0.62601	0.66717	0.67226
3854.13565	0.67957	0.65721	0.53891	0.00124	0.61651	0.5582	0.6241	0.66588	0.67067
3853.17139	0.6804	0.65885	0.53653	0.00199	0.6194	0.55422	0.6234	0.66818	0.67303
3852.20714	0.68222	0.6599	0.53653	0.00166	0.62094	0.55466	0.62478	0.66978	0.67527
3851.24288	0.68282	0.65959	0.53712	0.00118	0.62075	0.55629	0.62563	0.6699000000000001	0.67535
3850.27862	0.68275	0.65898	0.53766	0.0011	0.6202299999999999	0.55766	0.62588	0.6695	0.6747
3849.31436	0.68235	0.65835	0.53768	0.001	0.61969	0.55811	0.6257200000000001	0.66892	0.67419
3848.35011	0.68205	0.658	0.53751	0.0008	0.61929	0.55819	0.62559	0.66858	0.67403
3847.38585	0.6820000000000001	0.65787	0.5376	0.00059	0.61897	0.55858	0.6256	0.66843	0.67377
3846.42159	0.68219	0.65781	0.5378500000000001	0.00073	0.61885	0.55896	0.62575	0.66832	0.67339
3845.45734	0.68237	0.65773	0.53813	0.00128	0.61868	0.55931	0.62598	0.66796	0.673
3844.49308	0.68223	0.65767	0.53808	0.00129	0.61872	0.55937	0.62601	0.66764	0.67267
3843.52882	0.68224	0.6581	0.53757	0.00103	0.61975	0.55885	0.6260599999999999	0.6684099999999999	0.67315
3842.56456	0.68244	0.6586	0.53784	0.00072	0.6203	0.55914	0.62639	0.66923	0.67389
3841.60031	0.6821700000000001	0.65856	0.5386	0.00125	0.61944	0.5599	0.62646	0.66891	0.67363
